geohash,avgtimetopark
c3x29v3,4.888
c3x2754,3.227
c3x2645,5.136
c3x0wxh,8.109
c3x29e2,4.378
c3x0z9y,3.899
c3x264j,5.035
c3x0z8c,4.932
c3x26g5,3.566
c3x2c0g,3.794
c3x29du,4.756
c3x2973,5.221
c3x0nbc,5.06
c3x29e8,3.703
c3x297e,5.996
c3x2d37,11.435
c3x2c0c,8.132
c3x2fgu,5.638
c3x2f80,9.388
c3x0z3p,5.425
c3x0xxn,4.526
c3x296z,5.688
c3x297x,5.488
c3x297j,6.525
c3x2ghd,5.398
c3x274c,5.676
c3x1pc1,2.555
c3x2971,7.143
c3x26w9,10.233
c3x2c1f,6.074
c3x0wjb,4.687
c3x28df,5.512
c3x2c1g,7.319
c3x2ugu,4.729
c3x2fmy,4.841
c3x21rr,3.607
c3x31fu,2.272
c3x289s,9.168
c3x28nc,4.048
c3x263v,4.874
c3x296v,6.051
c3rrf55,3.156
c3x297t,5.628
c3x2c15,6.909
c3rrb6v,2.583
c3x0mz6,1.554
c3x21xx,5.979
c3x0zm4,5.562
c3x2dxh,5.12
c3x23q6,5.137
c3x2c0h,4.233
c3x2cmy,3.873
c3x2631,2.98
c3rpy5g,5.273
c3x286v,4.913
c3x2hwt,5.603
c3x2ckn,7.793
c3x29wr,6.363
c3rrcsr,5.67
c3x28fs,6.337
c3x2g5s,6.253
c3x0jet,5.143
c3rpz69,3.377
c3x29sj,3.643
c3x28ed,7.863
c3x23qf,8.22
c3x0szj,3.98
c3x286y,4.41
c3rpzp8,4.383
c3x263h,4.25
c3x0wws,6.377
c3x35d2,1.83
c3x238v,4.533
c3rpz1h,5.333
c3rpz67,2.053
c3rrcys,3.25
c3x0qx1,7.043
c3x31cr,7.693
c3x29ud,4.323
c3x3591,2.953
c3x35hj,4.2
c3x2bme,4.123
c3x28kn,3.79
c3x0wkv,3.18
c3x22z9,6.863
c3rpzg3,3.693
c3rrcyw,3.727
c3x22v0,5.59
c3x0n88,6.487
c3x22wg,5.95
c3rpybx,3.987
c3x0wfv,6.907
c3x232k,7.49
c3x245v,2.837
c3x355v,6.523
c3x2gx5,3.56
c3x34sf,7.787
c3x0pfe,4.937
c3rrb36,6.507
c3x0qrr,6.4
c3x2gyk,3.513
c3x219b,2.557
c3x22s3,4.913
c3rpyt4,5.01
c3x25h0,7.09
c3x2cdk,5.9
c3x2963,4.707
c3x28fd,6.08
c3x0wv9,2.927
c3x24g4,4.423
c3x215g,3.98
c3x22yu,6.467
c3x20md,2.2
c3x2613,6.68
c3x356s,4.043
c3x313y,4.393
c3rrct6,5.173
c3x29jw,3.093
c3x0wtd,5.42
c3x28rt,2.95
c3x29nm,5.34
c3x0qxm,4.347
c3rpyqk,2.007
c3x353z,4.343
c3x26t5,4.577
c3rrfgx,5.73
c3x0qsd,3.747
c3x0m6p,6.003
c3x2bjz,4.69
c3x0xz4,6.017
c3x23e6,3.337
c3x0rpj,5.547
c3x0mru,6.343
c3x0jmc,7.313
c3x2hr7,5.22
c3x23v9,3.797
c3x23e3,4.693
c3x0xp1,3.843
c3x0qrm,9.967
c3x2e28,7.743
c3x0jzk,4.857
c3x2guc,4.84
c3x2e4u,3.567
c3rpyzz,4.57
c3x21wk,6.65
c3x2c3m,3.73
c3x0r7y,6.263
c3x0px1,7.047
c3x0xx2,7.063
c3x2fmw,2.8
c3x23w2,6.723
c3x2drd,5.45
c3x2gz2,2.87
c3x2fux,4.88
c3x29m7,4.21
c3x2hps,3.087
c3x27w5,7.11
c3x0s8q,6.28
c3x0tgy,5.103
c3x0wd8,3.853
c3x27jv,6.91
c3rpyby,5.29
c3x0yeb,2.747
c3x22z4,5.557
c3x26f6,3.587
c3x0m98,6.073
c3x0pep,4.873
c3x28kt,6.543
c3x21ry,4.603
c3x313n,2.81
c3x0w5c,5.913
c3x23ny,5.64
c3rpvy1,4.253
c3x2e1s,6.787
c3x26px,2.56
c3rrcct,4.217
c3rrcvf,3.53
c3x2ct4,5.717
c3x29h9,3.613
c3x2gns,4.557
c3x30b3,5.017
c3rrc48,7.867
c3x2962,5.553
c3x0wts,3.96
c3x26uc,6.023
c3x0xyx,5.503
c3x3074,5.18
c3x295s,5.797
c3x2c95,6.563
c3x2306,5.183
c3x0jqy,4.417
c3x2ct1,7.27
c3x2c2n,3.93
c3x34u9,6.183
c3x29th,4.857
c3x29sb,5.957
c3x2612,3.413
c3x28ep,4.293
c3x0rng,5.72
c3x211z,3.66
c3x29g0,7.577
c3x34bf,4.203
c3x0z6e,7.35
c3x0y8k,6.773
c3x2gv1,6.033
c3x28g9,5.36
c3rpznp,3.317
c3x2bzv,5.707
c3x21v7,5.317
c3x219d,4.39
c3x2gz3,4.097
c3x29y6,8.773
c3x0n2r,3.477
c3x0per,3.703
c3x2h72,6.23
c3x28ee,5.373
c3x28cq,5.24
c3x0wf4,4.257
c3rrf76,6.396
c3x275b,3.767
c3rrgwh,6.49
c3x20ft,6.753
c3x232f,5.06
c3x0rqv,3.147
c3x2gjy,4.19
c3x21kv,5.41
c3x254c,3.057
c3x2d70,7.077
c3x0nyq,3.193
c3x21r9,2.897
c3x304y,7.397
c3x0wxp,9.467
c3rrct5,6.677
c3x2967,6.627
c3x0wt6,6.317
c3x2f03,4.39
c3x2hr9,4.547
c3x0qr6,4.927
c3x28dt,5.463
c3x0wn3,6.32
c3x23bt,5.307
c3x2944,5.85
c3x354q,3.993
c3x0wdz,3.077
c3x2bjy,5.333
c3x0sb9,3.4
c3x2dur,2.903
c3x0rp7,4.787
c3x24gc,5.533
c3x22w6,3.753
c3x22xt,3.423
c3x28g8,5.253
c3x22zw,4.75
c3x2cmm,4.393
c3x29p7,5.927
c3x27jh,7.603
c3x0prp,3.463
c3x2981,7.363
c3x28ew,5.043
c3x2b6f,7.006
c3x0qr7,5.842
c3x0x7h,6.206
c3x23nt,5.319
c3x0we5,4.783
c3x28p1,3.694
c3x2gh5,4.739
c3x0xg1,5.2
c3x23e2,4.378
c3rrc40,4.203
c3x23e1,5.114
c3x28gm,4.947
c3x3028,3.414
c3x2637,5.875
c3x21wr,4.797
c3rpyt0,6.292
c3x2918,4.222
c3x26pv,3.533
c3x2959,3.803
c3x29n3,5.003
c3x22bw,5.169
c3x28s0,4.522
c3x29kk,4.803
c3x0q78,5.103
c3x0tgn,6.336
c3x2gct,3.297
c3rrgj9,4.467
c3rpyt7,5.322
c3rrb6r,4.481
c3x0qrd,6.628
c3x2945,3.55
c3x2bjd,3.242
c3x0pm8,4.656
c3x2960,6.261
c3x270m,2.989
c3x0qqj,4.389
c3x238p,5.656
c3x31ku,5.589
c3x2648,3.706
c3x0x9x,4.178
c3x0qyc,5.056
c3x2cme,4.5
c3x233s,5.375
c3x24q4,5.5
c3x2577,4.914
c3x28u1,5.364
c3x2c6d,8.492
c3x2cfk,6.342
c3x2e49,6.094
c3x29v4,3.206
c3x0z5t,8.031
c3rpzdz,5.336
c3rpyvr,2.697
c3x2c23,2.383
c3x0x6v,6.078
c3x24u7,3.878
c3x0zjn,4.428
c3x2g04,3.725
c3x28zf,5.772
c3x29s1,6.481
c3x28kr,3.839
c3rpybw,4.094
c3x2fw0,3.211
c3x287s,7.567
c3x0p7c,4.192
c3x2h0d,4.586
c3x288q,4.178
c3x2745,4.594
c3x0tfn,4.147
c3x25nc,3.744
c3x28s1,3.75
c3x0w1p,3.45
c3x2e48,4.931
c3x0phj,2.944
c3x20fm,5.958
c3x22yy,6.814
c3x291u,6.808
c3x24gj,1.938
c3x28kq,8.172
c3x0ztp,4.122
c3x2cu1,4.272
c3x29ku,4.439
c3x2g87,4.953
c3x2958,6.169
c3x2cmj,6.311
c3x22bm,4.972
c3x2cu2,3.975
c3rrcv4,3.614
c3x23nz,5.328
c3x2cwf,3.147
c3x358c,3.519
c3x23qc,4.897
c3x0qre,5.722
c3x0zhw,5.289
c3x28fu,6.586
c3x0xxv,6.433
c3x0z0m,6.794
c3x2hpg,6.192
c3rpzjt,4.033
c3x22zt,9.283
c3x2gcv,1.994
c3x0z03,5.161
c3x2h5r,4.403
c3x29ev,3.55
c3rpz0e,6.983
c3x23rs,3.011
