geohash,avgtimetopark
dxfy28x,5.757
dxfy3dk,3.859
dxfy28y,3.495
dxfwqc8,4.123
dxfvcrs,6.06
dxftzjy,4.775
dxftyvm,1.792
dxfy30g,4.219
dxfz6dt,9.233
dxftzmb,2.691
dxfy1hn,5.455
dxfwj9b,2.407
dxfy35g,3.952
dxfvcrf,5.242
dxfy0ch,3.983
dxfy0s8,5.12
dxfvcrc,4.663
dxfy2eu,4.518
dxfvcrm,7.015
dxftzp2,4.032
dxfy0bb,3.043
dxfy3d2,4.263
dxfwq8v,2.77
dxfy314,4.524
dxfy29x,5.443
dxfwx7x,5.367
dxfvcnx,5.558
dxfvbvz,6.629
dxfvcq9,4.818
dxfvcn7,3.71
dxfvcqu,5.004
dxfy41k,4.939
dxfvcq4,4.427
dxfy30e,4.781
dxftzr3,5.618
dxfy17j,3.379
dxfy3t2,2.886
dxfy124,5.71
dxfy1hq,5.215
dxfy06g,4.161
dxfvcre,6.721
dxfy316,3.576
dxfwxed,5.375
dxfvcpm,3.144
dxfy39b,2.937
dxfw6f4,3.142
dxfw6f5,4.284
dxfvcpp,6.453
dxfz66p,5.44
dxfy1hf,2.483
dxfy2eg,4.141
dxfwrjz,2.911
dxfy5hq,3.849
dxfvcp6,4.679
dxfwxfj,3.971
dxfy37q,5.541
dxfy2e5,6.331
dxfy1pc,6.934
dxfvcrk,7.107
dxfy26q,3.797
dxfzd4v,5.411
dxfy4jc,3.861
dxfy0zy,4.873
dxfvczz,3.019
dxfvcp3,3.934
dxfwwv7,2.383
dxfy34z,6.805
dxfy2cx,6.081
dxfvcrg,6.891
dxfvcqd,4.087
dxfy2be,4.854
dxfy31k,4.7
dxfy17p,3.745
dxftz00,7.976
dxfy1g5,1.915
dxfwx2m,4.502
dxfvcqf,5.772
dxfy17r,3.737
dxfwy2n,2.523
dxfvcm1,9.017
dxfvbjq,7.83
dxfwq1u,5.557
dxfy1j1,3.13
dxfwsgh,3.373
dxfwxkm,8.17
dxfwpd1,5.157
dxfy1vw,5.363
dxftytz,4.33
dxfy1js,3.42
dxfy0kn,4.577
dxfy4js,6.483
