geohash,avgtimetopark
dpxm8h1,3.385
dpxnntq,1.528
dpxnndh,2.44
dpxmb5q,1.928
dpxnhs2,3.534
dpxnnd5,3.626
dpxjzkq,1.426
dpxjzyx,1.402
dpxnn3r,4.212
dpxjutx,5.656
dpxnn3x,3.217
dpxmgk0,3.015
dpxjyks,4.6
dpxnn67,4.296
dpxnp4b,1.843
dpxnt9h,2.883
dpxjxtj,2.793
dpxjxx5,1.757
dpxntbk,2.585
dpxjy46,2.199
dpxmcyw,4.783
dpxnp47,2.938
dpxnncq,7.59
dpxnn3v,2.873
dpxmg5d,2.247
dpxnmkt,3.921
dpxnhu3,2.64
dpxjv28,1.036
dpxq10m,3.173
dpxnnug,5.814
dpxq05x,5.363
dpxnnff,4.945
dpxjveg,1.839
dpxjrf7,2.836
dpxnjg5,2.959
dpxjvu0,3.18
dpxmcxm,1.714
dpxnn3t,3.418
dpxjy2b,1.735
dpxmb27,1.35
dpxnhs3,3.469
dpxjzjx,3.028
dpxnn3u,3.167
dpxnpc9,3.855
dpxjyeq,2.881
dpxnn5s,3.372
dpxnjfp,1.533
dpxnn7n,2.423
dpxnt9s,1.64
dpxm8y3,2.992
dpxnhs6,3.878
dpxjvef,1.466
dpxnn53,5.384
dpxjteg,6.043
dpxmgdv,1.29
dpxjy2p,2.102
dpxmbvt,3.563
dpxq03q,6.834
dpxmgk1,2.798
dpxnn7q,2.374
dpxnmz2,2.635
dpxmcze,4.628
dpxjxwy,1.742
dpxnn69,2.561
dpxnn6g,3.903
dpxm8sv,2.122
dpxjuv8,3.841
dpxmfmm,5.6
dpxnpd0,2.358
dpxmcj9,2.081
dpxmbxu,2.462
dpxmf5f,1.88
dpxjxmn,2.977
dpxnn4r,3.383
dpxjyer,5.957
dpxmby5,3.654
dpxjudb,1.614
dpxjywd,1.641
dpxnn6y,5.086
dpxnjg1,3.734
dpxm8y6,3.214
dpxnndg,4.227
dpxmcp9,3.217
dpxmcvm,5.442
dpxjmqg,2.379
dpxnndb,4.878
dpxjyj4,1.26
dpxjvcr,4.621
dpxnn56,3.972
dpxnpbj,1.285
dpxm24d,2.486
dpxjzvy,3.248
dpxjrfb,1.989
dpxjvwk,4.513
dpxq0by,7.571
dpxmcgc,2.365
dpxnpb6,6.319
dpxnn94,2.661
dpxnmhp,2.853
dpxjxnh,4.655
dpxnnee,3.734
dpxjyzq,1.685
dpxnnf9,2.715
dpxjtec,5.08
dpxnpcd,3.069
dpxnn4x,2.719
dpxjz42,2.716
dpxnnct,4.176
dpxnnf0,3.088
dpxmfvm,1.846
dpxmfm2,4.076
dpxjxx4,2.125
dpxnp6r,3.014
dpxnjfd,3.045
dpxnn8f,2.743
dpxnh7u,4.236
dpxnnd7,4.371
dpxnp65,2.33
dpxmfn9,4.141
dpxmcp2,4.627
dpxntb5,2.513
dpxnng8,3.45
dpxmcp8,4.481
dpxmbzc,3.127
dpxnn6u,4.031
dpxnhde,1.187
dpxq0bz,3.412
dpxnn9b,3.356
dpxmb5k,1.952
dpxmcx9,1.961
dpxmbyp,1.958
dpxmcpy,3.099
dpxnndf,2.859
dpxnp10,2.193
dpxnncs,4.047
dpxnh55,2.118
dpxjyy1,3.951
dpxnmkw,6.95
dpxjze2,2.251
dpxjvgq,3.543
dpxjzjb,2.343
dpxnj7h,5.097
dpxjgb8,1.897
dpxjyhf,2.13
dpxmcmf,3.51
dpxnh33,4.857
dpxnjdb,5.33
dpxjdwg,2.453
dpxq05k,4.123
dpxnn78,4.153
dpxmbc6,7.527
dpxjuh6,2.13
dpxnp2c,4.13
