geohash,avgtimetopark
f244h0x,4.487
f244mts,7.086
f2469p5,2.193
f246dk0,6.321
f244qnn,4.327
f244r16,5.841
f21cxvs,2.916
f241ugg,2.98
f244mtv,4.95
f21cx2y,2.914
f244r50,3.831
f244q8g,4.587
f244r3q,3.971
f2467sv,1.725
f244m9n,5.595
f244h8h,4.552
f240v00,2.51
f2418rp,3.608
f2468vu,1.714
f244mkz,6.34
f244qfd,5.287
f244m7f,4.986
f244jz7,3.826
f244mk0,5.155
f244mw1,6.385
f244prr,3.752
f244pkf,3.254
f244qvg,5.209
f241ugw,3.693
f244reh,4.577
f241uxu,5.092
f244pkg,7.987
f244m9t,3.676
f244mtf,6.413
f244ptk,6.024
f244kbb,2.783
f244m7c,6.737
f241gzx,4.523
f241vjt,3.204
f244mk7,5.969
f244mkw,6.183
f241s0z,3.62
f244m3s,6.625
f244mkj,5.61
f244qfk,4.977
f244r8f,4.764
f244pqv,6.59
f244ptj,6.221
f244q94,3.7
f244r1c,3.747
f244pts,3.895
f244hke,2.988
f244mtw,5.566
f241f6t,2.913
f2438xe,6.634
f244mkh,4.456
f244mkm,5.244
f244mdz,4.203
f244mw5,6.25
f244hy9,2.608
f241gzy,3.721
f244m1n,4.739
f21cy6m,6.143
f244msk,5.176
f244ms3,5.477
f244m8x,4.941
f24185m,2.057
f24193k,4.168
f244mtc,5.998
f2419s4,3.508
f244qpq,3.908
f244my0,4.284
f2418yj,5.117
f2438x7,7.036
f244mk5,4.422
f244qy1,5.205
f241b80,3.357
f2469xr,2.273
f244ms8,5.728
f244r7z,4.186
f2412wt,4.424
f244mkr,5.754
f2469qt,6.132
f244587,5.56
f24181e,2.159
f244rrn,4.018
f241vn6,4.003
f244rec,6.522
f244h8c,2.596
f244qg5,6.432
f244mtg,5.55
f2419d5,2.095
f24181s,3.27
f24692z,6.657
f244hzt,4.256
f244q7j,2.387
f244k3w,7.322
f244msb,6.214
f244hhz,3.815
f244qfp,5.16
f244m7g,4.992
f244nky,5.902
f241t3n,2.784
f244mkx,6.803
f246855,3.665
f244r3w,4.294
f241t0d,2.397
f244mue,4.512
f2418t2,4.504
f244xcy,5.036
f244mk4,4.586
f2417z1,7.015
f244pqu,4.937
f244mdf,5.216
f244mem,4.219
f244r7h,3.935
f244mty,6.806
f244r3c,5.387
f244rxj,6.567
f246d3v,2.397
f244r74,3.806
f244jsn,6.012
f241gyz,2.777
f244rxe,5.547
f244psv,6.031
f244mtt,5.26
f244hrf,6.065
f244mkk,5.189
f244qeq,6.286
f244pm5,6.529
f21crrv,5.463
f244kfj,5.008
f244mwh,4.774
f244mtu,6.732
f244rey,4.217
f244mt9,7.297
f244m3y,4.639
f2418ry,3.514
f244mk6,5.26
f2445ef,5.47
f244hk3,5.74
f244h0k,5.927
f2469w2,5.35
f241by4,5.627
f244x8x,4.073
f244q90,5.203
f244x43,7.937
f2418zr,2.677
f2445g4,7.447
f21cxbv,6.607
f244h5n,4.507
f244hk7,4.957
f241bqu,4.743
f244hk4,6.01
f246d7c,4.297
f241uu3,3.827
f244r0e,5.227
f246d06,4.97
f244h86,5.18
f244h9u,3.503
f241b2s,3.93
f240zg3,1.643
f244qpc,3.987
f244580,8.823
f244pqp,2.773
f244m94,4.85
f244quw,5.683
