geohash,avgtimetopark
dpz8364,6.286
dpz2kd7,3.403
dpz91bh,4.806
dpz83w1,5.723
dpz86g3,3.804
dpz836h,6.011
dpz8gxp,3.168
dpz8fnv,1.801
dpz83e6,6.57
dpz83mf,6.621
dpz94mz,4.676
dpz2u7x,5.267
dpz83f2,5.656
dpz836r,4.979
dpz2kde,2.071
dpz8bzy,4.755
dpz86um,5.396
dpz83dx,6.292
dpz836p,6.329
dpz2tvu,7.105
dpz2jet,4.098
dpxrypb,3.642
dpz888z,3.284
dpz833e,5.38
dpz8g4s,4.536
dpz89kb,8.301
dpz2pmk,4.344
dpz2ndf,4.029
dpz83sj,4.863
dpz8b1m,4.059
dpz2wmf,3.25
dpz833x,5.306
dpz83f7,5.389
dpz826g,3.563
dpz2m8n,3.263
dpz8322,3.945
dpz896b,5.445
dpz838y,4.777
dpz2n6q,5.545
dpz832j,6.243
dpz9h15,4.26
dpz95bh,4.26
dpz89kv,6.368
dpz836y,6.21
dpz83f9,5.693
dpz81pg,5.696
dpz8utr,2.9
dpz8315,5.764
dpz2xg8,3.101
dpz831r,5.297
dpz8f3q,3.251
dpz9491,5.626
dpz2pms,5.584
dpz80zy,5.558
dpz89kd,4.931
dpz2xzy,4.637
dpz83ss,5.47
dpz86u4,5.435
dpz83em,5.536
dpz2xkz,3.542
dpz83bf,3.627
dpz83tp,6.174
dpz83h9,6.373
dpz830r,4.681
dpz837y,4.545
dpz80zz,5.412
dpz8e3n,6.8
dpz837r,4.718
dpz83tc,5.955
dpz83dn,6.213
dpz8cnf,6.39
dpz838w,5.3
dpz2kuv,3.409
dpz831x,5.96
dpz83cf,6.501
dpz83sc,5.735
dpz83dz,6.028
dpz8cjg,4
dpz83fk,7.004
dpz2nrk,4.966
dpz832q,5.527
dpz86e1,4.258
dpz2rhw,2.688
dpz83f8,6.14
dpz83er,4.833
dpz836j,5.774
dpz8c0h,5.609
dpz83v9,6.469
dpz2jsy,4.505
dpz83cv,4.914
dpz81r8,4.31
dpz9js9,5.919
dpz83dp,5.396
dpz83ec,5.479
dpz8365,6.128
dpz9n04,5.689
dpz81pz,5.897
dpz83g8,5.434
dpz830v,6.247
dpz82vn,4.675
dpz8ub8,9.484
dpz9n05,3.61
dpz88qz,4.533
dpz2zch,3.703
dpz839b,6.227
dpz83cd,5.566
dpz8338,6.005
dpz894w,4.283
dpz8612,4.41
dpz83jx,4.706
dpz83f1,6.659
dpz2pm6,5.437
dpz8byw,4.692
dpz83d7,6.436
dpz82y2,4.15
dpz89hz,7.546
dpz83ed,6.152
dpz833j,4.922
dpz896c,5.914
dpz83fh,6.078
dpz83j5,4.532
dpz9jyk,4.228
dpz8648,4.992
dpz83dv,5.513
dpz837t,6.751
dpz9k3y,9.407
dpz8cju,4.665
dpz864m,4.374
dpz2np9,4.381
dpz83dy,6.404
dpz83e9,6.802
dpz83hw,6.067
dpz83mp,4.242
dpz8ued,4.295
dpz83f4,6.379
dpz83f0,6.137
dpz2w7x,2.913
dpz2zjy,4.738
dpz833k,6.934
dpz90cd,3.36
dpz95j4,2.434
dpz839g,5.783
dpz83cg,5.368
dpz9hpq,3.5
dpz83ep,5.874
dpz893h,4.926
dpz8cx8,4.241
dpz89k7,6.185
dpz83t0,5.851
dpz2xbd,3.633
dpz8edr,2.487
dpz89mh,5.599
dpz2tmq,3.631
dpz91bj,7.531
dpz83ej,5.408
dpz89hn,4.453
dpz9jpx,3.75
dpz83vb,4.715
dpz83dm,6.155
dpz83mg,7.161
dpz83sf,5.641
dpz86pj,5.336
dpz82bp,4.884
dpz83s7,3.756
dpz83ex,3.987
dpz83s9,5.865
dpz83dw,6.461
dpz2yyq,4.106
dpz2nnq,7.734
dpz8gjz,3.878
dpz833r,5.463
dpz830p,5.84
dpz83v8,6.032
dpz83m8,5.934
dpz2jsw,6.237
dpz91bw,2.582
dpz839y,7.123
dpz833d,6.805
dpz948g,4.302
dpz2pxw,5.406
dpz86e5,5.422
dpz83sb,5.146
dpz8339,6.922
dpz83s0,6.071
dpz83vu,3.994
dpz833w,6.167
dpz839s,6.96
dpz8360,5.411
dpz833s,5.393
dpz2m7m,3.359
dpz9nvq,4.281
dpz9490,4.195
dpz83qp,6.846
dpz833u,5.922
dpz87ph,3.7
dpz8gwh,5.285
dpz831j,6.485
dpz83ds,6.205
dpz8393,6.076
dpz2wxw,2.857
dpz83fm,6.775
dpz839t,6.539
dpz8bzt,3.651
dpz89tn,2.979
dpz83d0,6.588
dpz2n9g,9.635
dpz83td,5.479
dpz83g9,5.47
dpz2sgr,4.937
dpz83d5,6.251
dpz8931,5.39
dpz9nqp,3.251
dpz838k,6.114
dpz2th6,7.818
dpz8fnr,4.531
dpz8g00,5.493
dpz2jsm,5.049
dpz83ef,6.432
dpz83tf,5.447
dpz2jcq,4.569
dpz839d,6.782
dpz8bzq,3.948
dpz2zbz,3.637
dpz82hm,4.642
dpz8381,5.873
dpz2s9z,2.811
dpz8byq,5.88
dpz833b,5.026
dpz2rwh,5.804
dpz83cr,5.562
dpz83wj,5.086
dpz86g9,4.215
dpz8czs,6.376
dpz83dj,6.16
dpz89ke,5.525
dpz89k2,5.587
dpz89m7,5.641
dpz82ye,4.878
dpz83fs,5.572
dpz2yms,7.2
dpz90cu,2.911
dpz2r1z,3.58
dpz943h,3.253
dpz83e3,6.815
dpz8vgc,1.937
dpz830y,7.201
dpz83e0,5.586
dpz89m1,6.562
dpz838e,5.313
dpz837n,5.948
dpz8u34,5.455
dpz8fkc,5.374
dpz83eb,5.508
dpz9p7q,2.405
dpz9kdn,4.433
dpz83f5,6.109
dpz838g,5.894
dpz8v7n,3.481
dpz831y,6.187
dpz838v,5.76
dpz2n1y,4.723
dpz943p,3.752
dpz2u38,3.329
dpz83qf,5.034
dpz8gxv,5.055
dpz2nqz,4.384
dpz2nm3,4.035
dpz83w0,7.1
dpz2x3x,3.407
dpz83qq,7.283
dpz8397,6.761
dpz2tdh,4.173
dpz8dtj,3.698
dpz8258,5.352
dpz866t,5.401
dpz2zsz,4.605
dpz2ntj,4.133
dpz833z,5.889
dpz831w,5.744
