geohash,avgtimetopark
c2b2muu,4.051
c2b2qkp,4.437
c2b2nxf,2.689
c2b2q64,5.373
c2b2m2z,2.909
c2b2q3b,4.188
c2b2qkb,3.03
c2b2q57,4.54
c2b2q54,3.979
c2b2mum,3.683
c28ryy3,4.609
c2b2nrb,3.226
c2b2npz,2.973
c28ryjw,3.457
c2b2qeq,5.683
c2b2q4g,4.523
c2b2q4u,5.338
c2b2qk2,4.75
c2b2qgd,3.577
c2b2qec,4.244
c2b806u,5.108
c2b2mvn,5.19
c28rvy7,3.301
c2b2r2n,3.482
c2b2qdb,4.025
c2b82ku,3.301
c2b2q26,3.868
c2b2qhq,4.557
c2b2ruv,1.72
c2b2qeb,3.85
c2b2q7r,4.27
c2b2qkc,3.001
c2b2q56,3.975
c2b2q67,4.349
c2b2qdf,3.473
c2b2r7k,2.584
c2b2qkr,3.72
c2b806b,2.956
c28xbms,3.825
c2b2qe7,5.063
c2b2q6d,4.033
c2b2qc8,3.274
c2b807g,1.849
c2b2q00,3.913
c2b2q65,3.588
c2b82e2,1.87
c2b2qex,4.767
c2b2q61,5.387
c2b80r2,3.185
c2b2qe4,3.76
c2b2mgy,3.042
c2b2q7e,4.949
c28xbjw,2.303
c2b2prx,4.279
c2b2q4s,3.566
c2b2qey,3.691
c2b8079,2.266
c2b2qhn,4.07
c2b2qhc,3.962
c2b2r6c,3.082
c2b2ruc,1.283
c2b2qg4,4.477
c2b80p3,2.685
c2b2nz2,3.262
c2b2q7k,3.541
c2b80pq,2.692
c2b2qkt,3.652
c2b2qgb,3.361
c2b2qbg,2.156
c2b2q2z,4.303
c2b2q9k,3.657
c2b2r1m,1.896
c2b80rk,6.874
c2b2m3q,2.71
c2b2mut,5.24
c2b822x,3.893
c2b2q2j,4.201
c2b2qe5,4.634
c2b2nru,4.378
c2b2rg3,3.305
c2b2q7v,3.913
c2b2q8y,3.348
c2b2qe2,3.245
c2b2qev,4.404
c2b2nvt,2.736
c2b2q5z,4.591
c2b2q7y,4.545
c2b2q55,3.638
c2b2psp,1.933
c2b2qdd,4.802
c28rzn8,2.543
c2b2q2h,4.323
c2b2m8m,2.521
c2b2q5r,4.472
c2b2qk4,4.116
c2b2qe1,4.582
c2b2m9x,3.7
c2b2nww,3.414
c2b2q74,5.804
c2b2qf4,5.453
c2b2pzs,2.925
c2b2nzj,3.975
c28rvuz,4.301
c28xbmt,4.232
c2b2qkq,4.342
c2b2qs0,3.819
c2b2nz1,2.643
c2b2q9n,3.797
c2b2jzm,3.29
c2b2qhp,5.078
c2b2qs1,4.679
c2b2qfc,4.19
c2b2qhm,3.688
c2b2qg3,4.889
c2b2q6c,3.816
c2b2qg2,4.547
c2b2njm,3.641
c2b2qg0,4.416
c2b2qfy,2.606
c2b2q97,3.392
c2b2qg1,3.987
c2b2q9m,2.859
c2b2q25,4.03
c2b2qs2,4.901
c28rzq2,4.676
c2b2q7d,4.796
c2b2r77,4.682
c2b2jxy,3.096
c2b2r4v,3.106
c2b2qkx,3.773
c2b2q7u,3.988
c2b807k,2.9
c2b2q7f,5.498
c2b2q42,2.713
c2b2q5y,4.377
c2b2qk9,3.569
c2b2q7q,2.775
c2b2mb5,3.785
c2b2qht,4.154
c2b2q4t,3.975
c2b2qk8,4.445
c2b2j6u,5.188
c2b2muj,3.712
c2b2q88,3.685
c2b2q7g,4.379
c2b2q73,5.058
c2b2q5x,3.67
c2b2hfu,3.048
c2b2qjh,3.275
c2b2mbp,3.52
c2b2qd9,3.337
c2b2qk5,4.014
c2b2q59,4.772
c2b2qdg,5.487
c2b2q1v,4.508
c2b2qc0,3.8
c2b2r6e,2.514
c2b2q6q,3.548
c2b2qkd,4.217
c2b2qj2,3.598
c2b2prz,5.035
c2b2m0z,3.526
c2b2q58,3.361
