geohash,avgtimetopark
cbfgzc8,2.681
cbfgv92,4.22
cbfu5bq,3.336
cbfgvc5,4.293
cbfgvdg,4.337
cbfgvee,4.835
cbfgve2,5.983
cbfgv7x,5.043
cbfgv3f,4.879
cbfuj5s,3.371
cbfgv2j,3.898
cbfguw1,2.35
cbfgv6z,5.834
cbfgv6n,4.429
cbfgu5g,3.408
cbfgm4s,2.893
cbfundg,2.924
cbfgy3e,3.046
cbfgvm8,5.191
cbfgv6s,7.275
cbfgvd8,5.112
cbfujbm,1.939
cbfgtrz,4.193
cbfgumx,2.787
cbfgs0c,4.443
cbfgvdd,4.323
cbfgv6j,5.887
cbfunwe,2.723
cbfgve8,4.76
cbfgv7j,4.159
cbfgyr8,2.015
cbfgvdh,5.801
cbfgm4z,2.918
cbfgv6p,5.731
cbfgv2d,2.562
cbfgzgx,8.347
cbfgyjb,3.247
cbfgvkd,5.668
cbfgve0,5.953
cbfgk1q,3.15
cbfgv17,2.255
cbfgyng,2.054
cbfgv3m,3.518
cbfgvd6,3.906
cbfgv64,4.706
cbfuhdh,4.629
cbfunex,4.268
cbfgv6q,6.673
cbfgvnw,9.078
cbfgkje,4.08
cbfu5dg,4.816
cbfgtsy,3.549
cbfu5de,7.641
cbfgv62,5.5
cbfgv6r,7.381
cbfgk4p,1.965
cbfgu75,3.861
cbfgv3e,5.024
cbfgve6,4.474
cbfgv3z,5.206
cbfge9v,4.006
cbfgvbc,3.518
cbfgyvz,6.822
cbfgvdc,4.538
cbfgtje,2.45
cbfgu2b,5.189
cbfgv3g,5.919
cbfgvjx,3.18
cbfgve3,4.673
cbfunxg,2.211
cbfunw9,3.886
cbfgv6h,5
cbfgvd0,6.468
cbfuj1y,2.521
cbfgujd,6.005
cbfgv72,5.687
cbfgvev,3.537
cbfgve5,4.398
cbfgfcm,4.973
cbfgvfk,6.627
cbfgcdk,3.91
cbfgsyx,7.527
cbfuhg8,7.38
cbfgvcp,3.167
cbfgknf,5.087
cbfunvy,6.58
cbfgysb,2.543
cbfgg9p,4.777
cbfujm0,5.07
cbfggss,8.22
cbfgf01,4.543
cbfunt9,5.007
cbfgvj0,6.81
cbfuh6p,2.55
cbfgyqh,3.867
cbfunyp,3.69
cbfgy11,5.487
cbfgv09,6.833
cbfgmhz,6.447
cbfggsu,6.25
cbfgvcj,6.483
cbfgzex,3.693
cbfuhhd,4.403
cbfgt6p,4.033
cbfgzhm,3.2
cbfgzer,4.817
cbfgun3,7.853
cbfgv02,6.85
cbfgypw,4.47
cbfgznp,5.493
cbg5c74,0.967
cbfgyqv,4.213
cbfgs8p,2.696
cbfgc8f,4.54
cbfgvkr,4.393
cbfgs39,4.713
cbfgubx,5.247
cbfgdsm,3.923
cbfgv44,7.53
cbfujbj,2.657
cbfgv3v,6.707
cbfgm05,3.107
cbfgecd,4.23
cbfupn0,5.273
cbfgtr7,3.953
cbfgu9v,3.98
cbfuh7b,4.29
cbfgvm1,5.027
cbfgv0v,6.857
cbfgvqu,3.24
cbfgytf,2.287
cbfu5bd,3.717
cbfgf88,3.877
cbfundd,4.023
cbfuh81,6.667
cbfuj6d,2.067
cbfgvft,2.927
cbfggst,8.473
cbfgygy,4.307
cbfgv1r,5.367
cbfujnb,4.687
cbfgf0s,7.383
cbfgszx,5.29
cbfgt2b,5.52
cbfgtzr,3.057
cbfgtnv,3.983
cbfujbt,3.193
cbfgu73,5.623
cbfgkkw,4.723
cbfg9th,2.673
cbfgtnt,2.833
cbfgvyz,4.337
cbfgu1r,6.163
cbfgz5j,3.15
cbfuj2g,3.543
cbfguuy,5.983
cbfgguy,6.287
cbfgy2x,5.04
cbfujbs,6.443
cbfgtrv,5.597
cbfup6b,5.67
cbfgzq7,5.107
cbfgvqy,3.42
cbfuhfq,6.463
cbfgdux,3.107
cbfgu88,5.433
cbfgu01,4.293
cbfgx4n,10.253
cbfgs3z,4.233
cbfgsx0,3.877
cbfgkcy,4.417
cbfgxp1,5.29
cbfgssj,6.217
cbfgrxv,5.02
cbfgub8,4.467
cbfggum,4.943
cbfgdz3,3.417
cbfghky,6.37
cbfgshh,3.833
cbfgvdu,4.72
cbfuhbw,3.197
cbfgf0b,3.927
cbfgq5e,5.63
cbfgypk,4.797
cbfgvqr,4.203
cbfgu14,5.913
cbfujnk,4.677
cbfggyj,6.44
cbfgu2w,6.607
cbfunsn,3.63
cbfgvtz,4.247
cbfun49,3.187
cbfgkkj,5.37
cbfgzmn,4.613
cbfgv6b,4.743
cbfgqw2,9.083
cbfgv1p,6.137
cbg5beh,3.98
cbfgdxz,6.243
cbfgunc,5.97
cbfgf0r,7.85
cbfgevy,4.183
cbfgvxx,4.693
cbfgkjf,4.59
cbfun3h,4.103
cbfgv0r,4.547
cbfgyr6,2.99
cbfgvsd,7.037
cbg5b7e,5.283
cbfgvfp,5.703
cbfgykb,2.727
cbfgs9q,3.3
cbfgv3p,5.747
cbfun2g,3.973
cbfgkcz,3.743
cbfgdxt,2.54
cbfgsg3,4.727
cbfgw2s,3.36
cbfguuj,4.18
cbfgyss,3.253
cbfgz3c,5.517
cbfgdhk,4.227
cbfg9yf,2.707
cbfuj0r,5.373
cbfgsx2,3.957
cbfgv03,7.167
cbfgt63,3.753
cbfgs8s,4.417
cbfunte,4.297
cbfgc6m,3.843
cbfgz97,5.557
cbfgg2h,5.54
cbfgf0v,6.157
cbfgznw,2.953
cbfgvcs,6.8
cbfuj2j,3.913
cbg5btr,2.883
cbfgcbg,5.37
cbfu5s7,3.123
cbfgt23,5.507
cbfuj7t,2.407
cbfgsuk,4.243
cbfgjpe,6.333
cbfgqpe,4.13
