Province,City,MPG_ALL,MPG_HDT,MPG_MDT,MPG_LDT,MPG_Mpv,MPG_Car,MPG_Other,AvgMilesPerVehicle_All,AvgMilesPerVehicle_HDT,AvgMilesPerVehicle_MDT,AvgMilesPerVehicle_LDT,AvgMilesPerVehicle_Mpv,AvgMilesPerVehicle_Car,AvgMilesPerVehicle_Other,GeographyCentroid
Alberta,Acadia No. 34,11.18,6.14,9.02,15.36,20.59,,7.19,108.18,112.2,104.54,101.27,99.06,,136.79,POINT(-110.21853345665 51.0991385317761)
Alberta,Acme,11.84,6.28,9.75,15.42,24.15,44.39,6.45,16.85,18.92,8.45,15.23,13.03,59.51,24.3,POINT(-113.50926971503 51.496179245893)
Alberta,Airdrie,12.62,6.83,10.31,16.58,24.39,34.95,7.55,181.63,207.28,192.63,159.01,167.82,170.08,161.62,POINT(-114.007281796332 51.2867376130589)
Alberta,Alberta Beach,12.15,7.25,9.72,13.45,10.59,,11.62,11.22,3.55,9.11,17.15,24.27,,3.94,POINT(-114.347761656465 53.6756999401178)
Alberta,Alexander 134,11.29,6.91,9.12,13.46,14.58,,9.27,29.83,12.79,33.04,34.57,44,,66.46,POINT(-113.958527912765 53.8117568366537)
Alberta,Alexis 133,10.33,6.31,9.37,15.27,21.73,33.62,7.58,12.94,19.35,10.91,9.36,7.93,4.64,10,POINT(-114.521565957672 53.7493072317689)
Alberta,Alix,13.91,6.89,9.61,15.75,28.39,,9.85,6.74,4.76,10.73,7.52,7.27,,4.74,POINT(-113.188010606263 52.3967855055625)
Alberta,Alliance,11.1,5.79,11.85,15.98,16.43,,9.64,1.12,0.85,0.47,1.36,1.51,,0.67,POINT(-111.785108650233 52.4361312186452)
Alberta,Allison Bay 219,12.96,,,13.6,,,,118.9,,,164.56,,,,POINT(-111.036990915752 58.7745338483031)
Alberta,Amisk,10.76,5.09,9.14,16.07,21.76,,5.44,4.15,4.17,3.38,4.18,1.49,,5.25,POINT(-111.057641341194 52.5645557908627)
Alberta,Andrew,13.1,7.09,10.99,15.93,20.8,,7.02,5.81,1.95,1.07,3.08,3.16,,42.17,POINT(-112.335806704438 53.879377846588)
Alberta,Arrowwood,12.68,6.81,9.25,16.11,23.61,,10.77,2.67,1.57,2.46,2.5,1.99,,7.05,POINT(-113.152493586858 50.737425275828)
Alberta,Athabasca,11.29,6.18,9.44,14.96,19.71,,7.78,108.01,47.35,166.3,70.38,57.61,,417.15,POINT(-113.279809233488 54.7177311635041)
Alberta,Athabasca County,11.17,6.05,9.7,14.96,21.12,32.06,8.02,953.49,1393.14,727.15,605.32,400.26,141.2,1984.26,POINT(-112.974929711766 54.823186044708)
Alberta,Banff,15.44,7.95,10.99,16.86,22.25,28.91,16.64,30.04,16.89,41,23.53,32.66,29.71,111.41,POINT(-115.566335248127 51.1764485593505)
Alberta,Barnwell,11.3,6.4,10.69,16.4,14.39,34.38,8.11,6.31,5.43,6.59,7.06,15.52,7.2,3.54,POINT(-112.263609488194 49.7594254425207)
Alberta,Barons,10.77,6.4,10.04,16.09,18.11,35.86,9.01,8.97,7.82,8.13,7.98,8.81,6.11,16.23,POINT(-113.082607294439 49.9981717356797)
Alberta,Barrhead,13.59,6.96,9.21,15.04,25.21,,7.91,34.67,13.18,72.15,47.11,21.23,,17.51,POINT(-114.404514705956 54.1257855005819)
Alberta,Barrhead County No. 11,13.3,6.7,8.89,15.03,26.48,,8.11,318.33,165.96,788.36,368.17,213.56,,295.96,POINT(-114.512033048514 54.15282526013)
Alberta,Bashaw,11.32,6.57,9.35,14.6,23.7,,7.46,7.73,8.98,12.09,7.04,5.45,,4.91,POINT(-112.968782962346 52.5863712664356)
Alberta,Bassano,9.12,6.51,9.29,15.96,21.69,34.69,6.65,8.01,9.01,5.18,7.56,5.65,1.82,5.54,POINT(-112.468710522827 50.7885378368049)
Alberta,Bawlf,13.42,6.22,9.47,15.87,16.63,33.83,8.83,8.06,4.3,9.23,10.12,17.8,1.41,3.07,POINT(-112.466010125958 52.919028968375)
Alberta,Beaumont,14.41,7.2,10.26,15.32,20.5,30.48,10.29,39.29,17.45,33.07,48.07,76.89,147.85,11.31,POINT(-113.415348813658 53.3523711596761)
Alberta,Beaver County,11.72,5.95,9.28,15.48,22.47,34.51,7.97,384.6,414.48,597.63,390.87,233.63,55.88,252.75,POINT(-112.152201817206 53.2182437198423)
